,date,state,cases,deaths
21800,2020-03-31,Alabama,7,0
21801,2020-03-31,Alabama,19,0
21802,2020-03-31,Alabama,3,0
21803,2020-03-31,Alabama,5,0
21804,2020-03-31,Alabama,3,0
21805,2020-03-31,Alabama,1,0
21806,2020-03-31,Alabama,9,0
21807,2020-03-31,Alabama,36,4
21808,2020-03-31,Alabama,2,0
21809,2020-03-31,Alabama,11,0
21810,2020-03-31,Alabama,3,0
21811,2020-03-31,Alabama,2,0
21812,2020-03-31,Alabama,5,0
21813,2020-03-31,Alabama,4,0
21814,2020-03-31,Alabama,4,0
21815,2020-03-31,Alabama,2,0
21816,2020-03-31,Alabama,1,0
21817,2020-03-31,Alabama,8,0
21818,2020-03-31,Alabama,2,0
21819,2020-03-31,Alabama,4,0
21820,2020-03-31,Alabama,12,0
21821,2020-03-31,Alabama,1,0
21822,2020-03-31,Alabama,8,0
21823,2020-03-31,Alabama,1,0
21824,2020-03-31,Alabama,3,0
21825,2020-03-31,Alabama,3,0
21826,2020-03-31,Alabama,1,0
21827,2020-03-31,Alabama,8,0
21828,2020-03-31,Alabama,8,1
21829,2020-03-31,Alabama,282,0
21830,2020-03-31,Alabama,1,0
21831,2020-03-31,Alabama,12,1
21832,2020-03-31,Alabama,3,0
21833,2020-03-31,Alabama,75,2
21834,2020-03-31,Alabama,22,0
21835,2020-03-31,Alabama,1,0
21836,2020-03-31,Alabama,1,0
21837,2020-03-31,Alabama,100,1
21838,2020-03-31,Alabama,4,0
21839,2020-03-31,Alabama,9,0
21840,2020-03-31,Alabama,6,0
21841,2020-03-31,Alabama,53,1
21842,2020-03-31,Alabama,1,0
21843,2020-03-31,Alabama,31,1
21844,2020-03-31,Alabama,20,0
21845,2020-03-31,Alabama,4,0
21846,2020-03-31,Alabama,4,0
21847,2020-03-31,Alabama,2,0
21848,2020-03-31,Alabama,1,0
21849,2020-03-31,Alabama,86,2
21850,2020-03-31,Alabama,15,0
21851,2020-03-31,Alabama,1,0
21852,2020-03-31,Alabama,7,0
21853,2020-03-31,Alabama,13,1
21854,2020-03-31,Alabama,29,0
21855,2020-03-31,Alabama,32,0
21856,2020-03-31,Alabama,3,0
21857,2020-03-31,Alabama,3,0
21858,2020-03-31,Alabama,2,0
21859,2020-03-31,Alaska,65,2
21860,2020-03-31,Alaska,35,0
21861,2020-03-31,Alaska,9,0
21862,2020-03-31,Alaska,8,0
21863,2020-03-31,Alaska,13,0
21864,2020-03-31,Alaska,3,0
21865,2020-03-31,Arizona,16,0
21866,2020-03-31,Arizona,4,0
21867,2020-03-31,Arizona,81,3
21868,2020-03-31,Arizona,1,0
21869,2020-03-31,Arizona,2,0
21870,2020-03-31,Arizona,1,0
21871,2020-03-31,Arizona,2,0
21872,2020-03-31,Arizona,791,8
21873,2020-03-31,Arizona,7,0
21874,2020-03-31,Arizona,91,0
21875,2020-03-31,Arizona,202,6
21876,2020-03-31,Arizona,62,0
21877,2020-03-31,Arizona,2,0
21878,2020-03-31,Arizona,24,0
21879,2020-03-31,Arizona,12,0
21880,2020-03-31,Arkansas,2,0
21881,2020-03-31,Arkansas,1,0
21882,2020-03-31,Arkansas,3,0
21883,2020-03-31,Arkansas,38,0
21884,2020-03-31,Arkansas,2,0
21885,2020-03-31,Arkansas,4,0
21886,2020-03-31,Arkansas,2,0
21887,2020-03-31,Arkansas,24,0
21888,2020-03-31,Arkansas,61,2
21889,2020-03-31,Arkansas,5,0
21890,2020-03-31,Arkansas,2,0
21891,2020-03-31,Arkansas,2,1
21892,2020-03-31,Arkansas,10,0
21893,2020-03-31,Arkansas,3,0
21894,2020-03-31,Arkansas,29,0
21895,2020-03-31,Arkansas,2,0
21896,2020-03-31,Arkansas,2,0
21897,2020-03-31,Arkansas,2,0
21898,2020-03-31,Arkansas,36,0
21899,2020-03-31,Arkansas,31,0
21900,2020-03-31,Arkansas,3,0
21901,2020-03-31,Arkansas,4,0
21902,2020-03-31,Arkansas,1,0
21903,2020-03-31,Arkansas,4,0
21904,2020-03-31,Arkansas,4,0
21905,2020-03-31,Arkansas,4,0
21906,2020-03-31,Arkansas,40,0
21907,2020-03-31,Arkansas,3,0
21908,2020-03-31,Arkansas,1,0
21909,2020-03-31,Arkansas,6,0
21910,2020-03-31,Arkansas,6,0
21911,2020-03-31,Arkansas,1,0
21912,2020-03-31,Arkansas,1,0
21913,2020-03-31,Arkansas,1,0
21914,2020-03-31,Arkansas,2,0
21915,2020-03-31,Arkansas,2,0
21916,2020-03-31,Arkansas,5,0
21917,2020-03-31,Arkansas,4,0
21918,2020-03-31,Arkansas,6,0
21919,2020-03-31,Arkansas,103,3
21920,2020-03-31,Arkansas,3,0
21921,2020-03-31,Arkansas,11,0
21922,2020-03-31,Arkansas,1,0
21923,2020-03-31,Arkansas,4,0
21924,2020-03-31,Arkansas,8,0
21925,2020-03-31,Arkansas,2,0
21926,2020-03-31,Arkansas,2,0
21927,2020-03-31,Arkansas,5,0
21928,2020-03-31,Arkansas,8,0
21929,2020-03-31,Arkansas,61,5
21930,2020-03-31,Arkansas,19,1
21931,2020-03-31,Arkansas,22,0
21932,2020-03-31,Arkansas,11,0
21933,2020-03-31,Arkansas,1,0
21934,2020-03-31,California,334,7
21935,2020-03-31,California,1,0
21936,2020-03-31,California,2,0
21937,2020-03-31,California,8,0
21938,2020-03-31,California,3,0
21939,2020-03-31,California,1,0
21940,2020-03-31,California,222,3
21941,2020-03-31,California,18,0
21942,2020-03-31,California,68,0
21943,2020-03-31,California,2,0
21944,2020-03-31,California,27,0
21945,2020-03-31,California,38,0
21946,2020-03-31,California,8,0
21947,2020-03-31,California,101,1
21948,2020-03-31,California,4,0
21949,2020-03-31,California,3011,54
21950,2020-03-31,California,23,1
21951,2020-03-31,California,102,4
21952,2020-03-31,California,4,0
21953,2020-03-31,California,10,0
21954,2020-03-31,California,13,1
21955,2020-03-31,California,42,2
21956,2020-03-31,California,16,1
21957,2020-03-31,California,21,0
21958,2020-03-31,California,502,7
21959,2020-03-31,California,67,2
21960,2020-03-31,California,1,0
21961,2020-03-31,California,371,13
21962,2020-03-31,California,224,7
21963,2020-03-31,California,21,1
21964,2020-03-31,California,183,6
21965,2020-03-31,California,734,9
21966,2020-03-31,California,400,6
21967,2020-03-31,California,151,8
